source,north,east,west,south,ne,all_india,total_generation,%_north,%_east,%_west,%_south,%_ne,gen_x-1,gen_x-7,gen_x-30,ma_x-7,ma_x-30,date,date,year,month,day,dayofweek,is_weekend
Hydro,126.0,52.0,47.0,79.0,3.0,308,307.0,40.909090909090914,16.883116883116884,15.259740259740258,25.649350649350648,0.974025974025974,38.0,2552.0,292.0,895.0,972.1333333333333,2013-04-10,2013-04-10,2013,4,10,2,0
Total,669.0,325.0,883.0,717.0,27.0,2620,2621.0,25.53435114503817,12.404580152671755,33.70229007633588,27.36641221374046,1.0305343511450382,308.0,2624.0,2526.0,894.4285714285714,975.2666666666667,2013-04-10,2013-04-10,2013,4,10,2,0
Wind Gen(MU),2.0,0.0,18.0,18.0,0.0,39,38.0,5.128205128205128,0.0,46.15384615384615,46.15384615384615,0.0,2620.0,47.0,34.0,893.2857142857143,975.4333333333333,2013-04-10,2013-04-10,2013,4,10,2,0
Total,692.0,327.0,873.0,709.0,27.0,2628,2628.0,26.331811263318112,12.442922374429223,33.21917808219178,26.97869101978691,1.0273972602739725,39.0,298.0,300.0,1226.142857142857,1053.0333333333333,2013-04-11,2013-04-11,2013,4,11,3,0
Wind Gen(MU),4.0,0.0,19.0,18.0,0.0,41,41.0,9.75609756097561,0.0,46.34146341463415,43.90243902439025,0.0,2628.0,303.0,2575.0,1188.7142857142858,968.5666666666667,2013-04-11,2013-04-11,2013,4,11,3,0
Hydro,122.0,44.0,43.0,75.0,4.0,289,288.0,42.21453287197232,15.22491349480969,14.878892733564014,25.951557093425603,1.384083044982699,41.0,2647.0,48.0,851.8571428571429,976.6,2013-04-11,2013-04-11,2013,4,11,3,0
Hydro,123.0,39.0,49.0,69.0,4.0,284,284.0,43.309859154929576,13.732394366197184,17.253521126760564,24.295774647887324,1.4084507042253522,289.0,38.0,48.0,887.0,984.4666666666667,2013-04-12,2013-04-12,2013,4,12,4,0
Wind Gen(MU),3.0,0.0,26.0,9.0,0.0,39,38.0,7.6923076923076925,0.0,66.66666666666666,23.076923076923077,0.0,284.0,308.0,2558.0,848.5714285714286,900.5,2013-04-12,2013-04-12,2013,4,12,4,0
Total,699.0,320.0,881.0,715.0,28.0,2643,2643.0,26.4472190692395,12.107453651153993,33.33333333333333,27.052591751797202,1.0594021944759744,39.0,2620.0,290.0,851.8571428571429,978.9333333333333,2013-04-12,2013-04-12,2013,4,12,4,0
Wind Gen(MU),2.0,0.0,24.0,10.0,0.0,36,36.0,5.555555555555555,0.0,66.66666666666666,27.77777777777778,0.0,2643.0,39.0,2551.0,851.4285714285714,895.1,2013-04-13,2013-04-13,2013,4,13,5,1
Hydro,121.0,35.0,53.0,65.0,4.0,278,278.0,43.52517985611511,12.589928057553957,19.06474820143885,23.381294964028775,1.4388489208633095,36.0,2628.0,299.0,515.7142857142857,894.4,2013-04-13,2013-04-13,2013,4,13,5,1
Total,694.0,316.0,874.0,715.0,28.0,2626,2627.0,26.428027418126426,12.033511043412034,33.28255902513328,27.22772277227723,1.0662604722010662,278.0,41.0,31.0,885.0,980.9,2013-04-13,2013-04-13,2013,4,13,5,1
Hydro,124.0,35.0,31.0,49.0,3.0,242,242.0,51.2396694214876,14.46280991735537,12.8099173553719,20.24793388429752,1.2396694214876034,2626.0,289.0,2586.0,878.2857142857143,902.7666666666667,2013-04-14,2013-04-14,2013,4,14,6,1
Total,684.0,285.0,830.0,717.0,26.0,2542,2542.0,26.90794649881983,11.211644374508262,32.65145554681354,28.206136900078675,1.0228166797797011,242.0,284.0,297.0,1200.857142857143,977.6,2013-04-14,2013-04-14,2013,4,14,6,1
Wind Gen(MU),3.0,0.0,23.0,15.0,0.0,41,41.0,7.317073170731707,0.0,56.09756097560976,36.58536585365854,0.0,2542.0,39.0,42.0,1201.142857142857,977.5666666666667,2013-04-14,2013-04-14,2013,4,14,6,1
Hydro,134.0,46.0,33.0,50.0,3.0,266,266.0,50.37593984962406,17.293233082706767,12.406015037593985,18.796992481203006,1.1278195488721803,41.0,2643.0,41.0,861.5714285714286,985.0666666666667,2013-04-15,2013-04-15,2013,4,15,0,0
Total,717.0,304.0,878.0,709.0,24.0,2632,2632.0,27.241641337386017,11.55015197568389,33.358662613981764,26.93768996960486,0.911854103343465,266.0,36.0,2566.0,1232.4285714285713,987.2666666666667,2013-04-15,2013-04-15,2013,4,15,0,0
Wind Gen(MU),5.0,0.0,32.0,41.0,0.0,78,78.0,6.41025641025641,0.0,41.02564102564102,52.56410256410257,0.0,2632.0,278.0,303.0,1203.857142857143,979.7666666666667,2013-04-15,2013-04-15,2013,4,15,0,0
Wind Gen(MU),15.0,0.0,41.0,44.0,0.0,99,100.0,15.151515151515152,0.0,41.41414141414141,44.44444444444444,0.0,78.0,2626.0,61.0,842.8571428571429,981.0333333333333,2013-04-16,2013-04-16,2013,4,16,1,0
Hydro,140.0,31.0,40.0,55.0,4.0,269,270.0,52.04460966542751,11.524163568773234,14.869888475836431,20.44609665427509,1.486988847583643,99.0,242.0,2588.0,846.7142857142857,903.7333333333333,2013-04-16,2013-04-16,2013,4,16,1,0
Total,718.0,314.0,880.0,732.0,27.0,2671,2671.0,26.88131785847997,11.755896667914639,32.94646199925121,27.40546611755897,1.010857356795208,269.0,2542.0,285.0,865.1428571428571,983.2666666666667,2013-04-16,2013-04-16,2013,4,16,1,0
Wind Gen(MU),7.0,0.0,35.0,42.0,0.0,84,84.0,8.333333333333332,0.0,41.66666666666667,50.0,0.0,2671.0,41.0,265.0,871.2857142857143,977.2333333333333,2013-04-17,2013-04-17,2013,4,17,2,0
Hydro,143.0,38.0,45.0,64.0,5.0,295,295.0,48.47457627118644,12.88135593220339,15.254237288135593,21.694915254237287,1.694915254237288,84.0,266.0,53.0,875.4285714285714,985.3,2013-04-17,2013-04-17,2013,4,17,2,0
Total,729.0,302.0,886.0,721.0,27.0,2665,2665.0,27.354596622889304,11.332082551594747,33.24577861163227,27.054409005628514,1.0131332082551596,295.0,2632.0,2552.0,880.1428571428571,989.0666666666667,2013-04-17,2013-04-17,2013,4,17,2,0
Hydro,143.0,40.0,48.0,65.0,6.0,302,302.0,47.35099337748344,13.245033112582782,15.894039735099339,21.52317880794702,1.9867549668874174,2665.0,78.0,2624.0,912.1428571428571,911.6666666666666,2013-04-18,2013-04-18,2013,4,18,3,0
Wind Gen(MU),2.0,0.0,32.0,38.0,0.0,72,72.0,2.7777777777777777,0.0,44.44444444444444,52.77777777777778,0.0,302.0,99.0,47.0,908.2857142857143,912.5,2013-04-18,2013-04-18,2013,4,18,3,0
Total,723.0,295.0,864.0,728.0,28.0,2637,2638.0,27.417519908987487,11.1869548729617,32.76450511945392,27.607129313613953,1.061812665908229,72.0,269.0,298.0,1246.5714285714287,990.4666666666667,2013-04-18,2013-04-18,2013,4,18,3,0
Total,719.0,285.0,828.0,718.0,27.0,2577,2577.0,27.900659681800544,11.059371362048893,32.13038416763679,27.86185487000388,1.0477299185098952,2637.0,2671.0,303.0,1233.142857142857,1066.2666666666667,2013-04-19,2013-04-19,2013,4,19,4,0
Hydro,137.0,33.0,35.0,69.0,5.0,279,279.0,49.10394265232975,11.827956989247312,12.544802867383511,24.731182795698924,1.7921146953405016,2577.0,84.0,2647.0,1261.0,987.3333333333334,2013-04-19,2013-04-19,2013,4,19,4,0
Wind Gen(MU),16.0,0.0,28.0,24.0,0.0,68,68.0,23.52941176470588,0.0,41.17647058823529,35.294117647058826,0.0,279.0,295.0,38.0,1228.5714285714287,988.3333333333334,2013-04-19,2013-04-19,2013,4,19,4,0
Hydro,135.0,27.0,37.0,52.0,6.0,258,257.0,52.32558139534884,10.465116279069768,14.34108527131783,20.155038759689923,2.3255813953488373,68.0,2665.0,308.0,884.7142857142857,986.6666666666666,2013-04-20,2013-04-20,2013,4,20,5,1
Wind Gen(MU),15.0,0.0,29.0,28.0,0.0,72,72.0,20.833333333333336,0.0,40.27777777777778,38.88888888888889,0.0,258.0,302.0,2620.0,851.8571428571429,901.7333333333333,2013-04-20,2013-04-20,2013,4,20,5,1
Total,716.0,273.0,794.0,710.0,26.0,2519,2519.0,28.423977768955933,10.837633981738785,31.5204446208813,28.18578801111552,1.0321556173084558,72.0,72.0,39.0,1201.4285714285713,984.4,2013-04-20,2013-04-20,2013,4,20,5,1
Wind Gen(MU),5.0,0.0,18.0,17.0,0.0,39,40.0,12.82051282051282,0.0,46.15384615384615,43.58974358974359,0.0,2519.0,2637.0,2628.0,830.2857142857143,898.1,2013-04-21,2013-04-21,2013,4,21,6,1
Total,681.0,265.0,797.0,685.0,27.0,2455,2455.0,27.73930753564155,10.79429735234216,32.46435845213849,27.90224032586558,1.0997963340122199,39.0,2577.0,41.0,812.8571428571429,978.5666666666667,2013-04-21,2013-04-21,2013,4,21,6,1
Hydro,131.0,25.0,31.0,48.0,5.0,239,240.0,54.811715481171554,10.460251046025103,12.97071129707113,20.0836820083682,2.092050209205021,2455.0,279.0,289.0,807.1428571428571,976.9,2013-04-21,2013-04-21,2013,4,21,6,1
Total,699.0,280.0,829.0,701.0,28.0,2537,2537.0,27.552227039810802,11.03665746945211,32.676389436342134,27.631060307449744,1.103665746945211,239.0,68.0,284.0,1159.857142857143,1052.0,2013-04-22,2013-04-22,2013,4,22,0,0
Hydro,133.0,34.0,39.0,55.0,5.0,266,266.0,50.0,12.781954887218044,14.661654135338345,20.676691729323306,1.8796992481203008,2537.0,258.0,39.0,1161.0,1059.5666666666666,2013-04-22,2013-04-22,2013,4,22,0,0
Wind Gen(MU),5.0,0.0,13.0,14.0,0.0,31,32.0,16.129032258064516,0.0,41.935483870967744,45.16129032258064,0.0,266.0,72.0,2643.0,1155.142857142857,972.5,2013-04-22,2013-04-22,2013,4,22,0,0
Hydro,137.0,37.0,67.0,57.0,6.0,304,304.0,45.06578947368421,12.171052631578947,22.039473684210524,18.75,1.9736842105263157,31.0,2519.0,36.0,838.7142857142857,981.4333333333333,2013-04-23,2013-04-23,2013,4,23,1,0
Wind Gen(MU),2.0,0.0,14.0,11.0,0.0,27,27.0,7.4074074074074066,0.0,51.85185185185185,40.74074074074074,0.0,304.0,39.0,278.0,837.0,973.0666666666667,2013-04-23,2013-04-23,2013,4,23,1,0
Total,723.0,298.0,852.0,705.0,28.0,2606,2606.0,27.743668457405985,11.435149654643132,32.69378357636224,27.05295471987721,1.0744435917114352,27.0,2455.0,2626.0,858.5714285714286,972.4,2013-04-23,2013-04-23,2013,4,23,1,0
Total,749.0,302.0,870.0,694.0,28.0,2642,2643.0,28.34973504920515,11.430734292202876,32.92959878879637,26.26797880393641,1.0598031794095382,2606.0,239.0,242.0,1201.857142857143,1052.4,2013-04-24,2013-04-24,2013,4,24,2,0
Hydro,147.0,38.0,63.0,67.0,5.0,319,320.0,46.08150470219436,11.912225705329153,19.74921630094044,21.003134796238246,1.5673981191222568,2642.0,2537.0,2542.0,885.0,978.3,2013-04-24,2013-04-24,2013,4,24,2,0
Wind Gen(MU),5.0,0.0,23.0,9.0,0.0,38,37.0,13.157894736842104,0.0,60.526315789473685,23.684210526315788,0.0,319.0,266.0,41.0,852.4285714285714,978.2,2013-04-24,2013-04-24,2013,4,24,2,0
Wind Gen(MU),5.0,0.0,33.0,11.0,0.0,49,49.0,10.204081632653061,0.0,67.3469387755102,22.448979591836736,0.0,38.0,31.0,266.0,855.0,970.9666666666667,2013-04-25,2013-04-25,2013,4,25,3,0
Total,754.0,315.0,862.0,695.0,27.0,2653,2653.0,28.420655861289106,11.87335092348285,32.49151903505466,26.196758386732,1.0177157934413872,49.0,304.0,2632.0,1190.5714285714287,971.6666666666666,2013-04-25,2013-04-25,2013,4,25,3,0
Hydro,156.0,36.0,54.0,58.0,4.0,307,308.0,50.814332247557005,11.726384364820847,17.58957654723127,18.892508143322477,1.3029315960912053,2653.0,27.0,78.0,1230.5714285714287,979.3,2013-04-25,2013-04-25,2013,4,25,3,0
