YEAR,T2M,Summer_Avg,Monsoon_Avg,Winter_Avg,is_summer,is_monsoon,is_winter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1901-01-01,28.96,31.463333333333335,31.3125,23.676666666666666,1,0,0,22.4,24.14,29.07,31.91,33.41,33.18,31.21,30.39,30.47,29.97,27.31,24.49
1902-01-01,29.22,31.76,31.09,25.183333333333334,1,0,0,24.93,26.58,29.77,31.78,33.73,32.91,30.92,30.73,29.8,29.12,26.31,24.04
1903-01-01,28.47,30.709999999999997,31.042500000000004,24.040000000000003,0,1,0,23.44,25.03,27.83,31.39,32.91,33.0,31.34,29.98,29.85,29.04,26.08,23.65
1904-01-01,28.49,30.956666666666667,30.64,23.62,1,0,0,22.5,24.73,28.21,32.02,32.64,32.07,30.36,30.09,30.04,29.2,26.36,23.63
1905-01-01,28.3,30.00666666666667,31.372500000000002,22.883333333333336,0,1,0,22.0,22.83,26.68,30.02,33.32,33.25,31.44,30.68,30.12,30.67,27.52,23.82
1906-01-01,28.73,31.116666666666664,30.855,23.563333333333333,1,0,0,22.28,23.69,27.31,31.93,34.11,32.19,31.01,30.3,29.92,29.55,27.6,24.72
1907-01-01,28.65,30.50333333333333,30.805,24.303333333333338,0,1,0,24.46,24.01,27.04,31.79,32.68,31.92,31.05,29.58,30.67,29.87,27.78,24.44
1908-01-01,28.83,31.433333333333337,30.7175,24.186666666666667,1,0,0,23.57,25.26,28.86,32.42,33.02,33.12,30.61,29.55,29.59,29.35,26.88,23.73
1909-01-01,28.38,31.02333333333333,30.35625,23.573333333333334,1,0,0,22.67,24.36,29.22,30.79,33.06,31.7,29.855,29.81,30.06,29.25,27.69,23.69
1910-01-01,28.53,31.136666666666667,30.485,23.923333333333332,1,0,0,23.24,25.16,28.48,31.42,33.51,31.84,30.42,29.86,29.82,28.91,26.32,23.37
1911-01-01,28.62,30.69666666666667,31.1425,23.836666666666662,0,1,0,23.22,24.58,27.04,31.27,33.78,32.23,31.44,30.8,30.1,29.43,25.7,23.71
1912-01-01,28.95,31.096666666666664,31.15,24.49,0,1,0,23.7,26.07,28.7,31.29,33.3,33.18,31.05,30.18,30.19,29.64,26.37,23.7
1913-01-01,28.67,30.903333333333336,30.9225,24.02,0,1,0,23.71,24.79,27.62,32.02,33.07,32.23,30.65,30.48,30.33,29.42,26.28,23.56
1914-01-01,28.66,30.73333333333333,30.8425,24.33666666666667,0,1,0,24.42,24.77,28.01,30.96,33.23,32.67,30.55,29.96,30.19,28.63,26.75,23.82
1915-01-01,28.94,31.060000000000002,31.549999999999997,23.406666666666666,0,1,0,22.6,23.84,27.62,31.36,34.2,33.1,31.52,30.79,30.79,30.08,27.62,23.78
1916-01-01,28.82,31.876666666666665,30.5225,24.320000000000004,1,0,0,24.13,25.01,30.21,31.99,33.43,31.78,30.61,29.97,29.73,28.98,26.14,23.82
1917-01-01,28.11,30.133333333333336,30.236250000000002,24.153333333333336,0,1,0,23.68,25.35,27.86,30.61,31.93,31.44,30.56,29.86,29.085000000000004,28.194999999999997,25.94,23.43
1918-01-01,28.66,30.666666666666668,31.107499999999998,23.486666666666665,0,1,0,22.06,25.08,27.95,30.68,33.37,31.82,31.78,30.56,30.27,30.06,26.95,23.32
1919-01-01,28.66,31.169999999999998,30.795,23.64,1,0,0,23.32,24.1,28.58,31.55,33.38,32.48,30.79,30.1,29.81,29.44,26.85,23.5
1920-01-01,28.76,30.396666666666665,31.08,24.03,0,1,0,22.87,24.4,28.11,30.89,32.19,32.18,31.05,30.44,30.65,30.03,27.46,24.82
1921-01-01,28.86,32.64,30.807499999999997,23.993333333333336,1,0,0,23.57,24.24,30.04,32.47,35.410000000000004,32.4,31.21,29.83,29.79,28.51,26.61,24.17
1922-01-01,28.8,31.97,30.895,24.16333333333333,1,0,0,22.96,25.91,29.37,31.85,34.69,32.44,30.9,30.54,29.7,28.81,26.71,23.62
1923-01-01,28.74,31.403333333333332,30.985000000000003,23.833333333333332,1,0,0,23.25,24.2,28.61,32.37,33.23,33.56,30.41,29.96,30.01,28.57,26.68,24.05
1924-01-01,28.8,31.436666666666667,30.965000000000003,23.900000000000002,1,0,0,22.84,25.05,29.89,32.07,32.35,33.26,31.02,30.26,29.32,29.43,26.17,23.81
1925-01-01,28.67,31.47,30.669999999999998,23.763333333333332,1,0,0,22.56,24.58,29.32,32.53,32.56,31.88,30.31,30.08,30.41,29.43,26.2,24.15
1926-01-01,28.7,30.206666666666667,31.135000000000005,24.53,0,1,0,23.54,25.92,27.8,30.42,32.4,33.56,31.21,30.26,29.51,29.38,26.29,24.13
1927-01-01,28.59,30.723333333333333,30.794999999999998,23.94666666666667,0,1,0,23.23,24.28,28.09,31.5,32.58,32.33,30.66,29.92,30.27,29.55,26.3,24.33
1928-01-01,28.98,31.513333333333332,31.134999999999998,23.97666666666667,1,0,0,23.33,25.1,28.74,31.7,34.1,32.73,30.86,30.52,30.43,29.8,26.9,23.5
1929-01-01,28.76,31.71666666666667,31.0325,23.36,1,0,0,23.05,24.01,29.88,31.59,33.68,32.54,30.81,30.05,30.73,28.61,27.19,23.02
1930-01-01,28.65,30.936666666666667,30.9825,23.706666666666667,0,1,0,22.6,23.79,28.8,30.98,33.03,32.2,30.81,30.55,30.37,29.22,26.73,24.73
1931-01-01,29.15,31.709999999999997,31.154999999999998,24.563333333333333,1,0,0,24.57,24.54,29.02,32.65,33.46,33.36,30.4,30.7,30.16,29.39,26.94,24.58
1932-01-01,29.09,31.169999999999998,31.2675,24.513333333333332,0,1,0,24.13,24.89,28.82,32.08,32.61,32.91,30.99,30.34,30.83,29.68,27.35,24.52
1933-01-01,28.49,30.429999999999996,30.404999999999998,24.319999999999997,1,0,0,22.85,25.38,28.71,30.53,32.05,32.04,30.78,29.31,29.49,28.98,27.05,24.73
1934-01-01,29.03,31.28333333333333,31.145,24.453333333333333,1,0,0,22.76,26.29,28.61,31.95,33.29,32.67,31.04,30.1,30.77,29.75,26.77,24.31
1935-01-01,28.76,31.189999999999998,30.85,24.136666666666667,1,0,0,22.28,25.93,29.09,30.24,34.24,33.07,30.63,29.81,29.89,29.56,26.88,24.2
1936-01-01,28.71,31.173333333333336,30.682500000000005,23.97666666666667,1,0,0,23.1,25.11,28.07,31.52,33.93,31.46,30.55,30.32,30.4,29.86,26.47,23.72
1937-01-01,28.7,30.836666666666662,31.215000000000003,23.843333333333334,0,1,0,23.34,24.92,28.06,30.96,33.49,33.17,30.37,30.76,30.56,28.83,26.69,23.27
1938-01-01,28.7,31.74,30.59,23.656666666666666,1,0,0,22.95,23.68,28.9,32.33,33.99,31.1,30.69,30.24,30.33,29.35,26.45,24.34
1939-01-01,28.85,30.78,31.0625,24.45,0,1,0,23.61,24.89,27.34,31.03,33.97,32.51,30.73,30.47,30.54,29.36,26.94,24.85
1940-01-01,28.88,30.659999999999997,30.9675,24.436666666666667,0,1,0,23.79,25.12,27.31,31.38,33.29,32.48,30.92,29.96,30.51,29.97,27.47,24.4
1941-01-01,29.46,32.156666666666666,31.375,24.649999999999995,1,0,0,23.18,25.79,29.83,32.8,33.84,32.79,31.29,31.12,30.3,30.52,27.35,24.98
1942-01-01,28.98,31.796666666666667,30.992500000000003,23.98,1,0,0,22.99,25.07,29.59,31.98,33.82,33.31,30.71,29.96,29.99,30.03,27.78,23.88
1943-01-01,28.8,30.830000000000002,30.84,24.323333333333334,0,1,0,22.97,25.12,29.06,30.75,32.68,32.17,30.84,30.15,30.2,29.43,27.69,24.88
1944-01-01,28.89,31.03333333333333,31.2375,23.97666666666667,0,1,0,23.17,24.07,27.94,30.93,34.23,33.05,30.9,30.67,30.33,29.82,27.0,24.69
1945-01-01,28.97,31.203333333333333,31.48,23.89,0,1,0,22.38,25.33,29.11,30.89,33.61,33.63,31.08,30.66,30.55,29.42,27.08,23.96
1946-01-01,29.37,31.5,31.23,25.33,1,0,0,24.41,26.56,28.7,32.19,33.61,32.43,31.13,30.6,30.76,29.98,26.85,25.02
1947-01-01,28.84,31.78,31.177500000000002,24.096666666666668,1,0,0,22.61,25.37,29.04,32.28,34.02,33.3,31.1,30.61,29.7,29.23,27.71,24.31
1948-01-01,28.73,31.27,30.8275,23.709999999999997,1,0,0,22.87,24.33,28.11,31.93,33.77,32.43,30.6,29.96,30.32,29.58,26.79,23.93
1949-01-01,28.89,31.27333333333333,30.875,24.399999999999995,1,0,0,24.31,24.68,28.89,31.85,33.08,32.04,30.74,30.36,30.36,29.5,26.67,24.21
1950-01-01,28.47,30.72,30.4825,24.013333333333335,1,0,0,23.56,24.48,27.78,31.16,33.22,32.35,30.35,30.01,29.22,28.96,26.79,24.0
1951-01-01,29.09,30.663333333333338,31.1325,24.88333333333333,0,1,0,24.36,25.16,28.66,30.3,33.03,32.03,30.95,30.52,31.03,30.53,27.66,25.13
1952-01-01,29.16,31.133333333333336,31.105,24.99666666666667,1,0,0,23.91,26.43,28.0,32.22,33.18,32.65,30.85,30.14,30.78,29.78,27.36,24.65
1953-01-01,29.43,32.22666666666667,31.127499999999998,25.046666666666667,1,0,0,22.96,26.51,30.51,32.1,34.07,33.26,30.87,30.27,30.11,29.79,27.19,25.67
1954-01-01,28.92,31.886666666666667,30.902500000000003,24.27333333333333,1,0,0,22.79,25.61,29.29,32.47,33.9,32.58,30.62,30.54,29.87,28.24,26.74,24.42
1955-01-01,28.76,30.879999999999995,30.72,24.69333333333333,1,0,0,23.46,26.34,29.4,31.12,32.12,32.34,30.74,29.8,30.0,28.6,26.88,24.28
1956-01-01,28.63,31.51,30.28125,24.373333333333335,1,0,0,23.16,25.66,28.83,32.04,33.66,31.46,29.855,29.52,30.29,28.26,26.55,24.3
1957-01-01,28.64,30.423333333333332,31.07,24.083333333333332,0,1,0,22.98,24.75,27.78,30.91,32.58,32.5,31.04,30.18,30.56,29.12,26.82,24.52
1958-01-01,29.34,31.74333333333333,31.227499999999996,25.176666666666666,1,0,0,24.75,26.12,29.61,32.51,33.11,33.72,30.99,30.18,30.02,29.23,27.14,24.66
1959-01-01,29.02,31.713333333333335,30.992500000000003,24.363333333333333,1,0,0,23.33,24.76,29.51,32.33,33.3,32.88,30.28,30.42,30.39,29.45,26.65,25.0
1960-01-01,29.31,31.169999999999998,31.295,25.403333333333332,0,1,0,23.78,27.19,28.04,31.9,33.57,33.17,30.86,30.7,30.45,29.9,26.92,25.24
1961-01-01,28.72,31.46666666666667,30.7475,23.986666666666668,1,0,0,24.14,24.22,29.49,31.8,33.11,31.98,30.49,30.29,30.23,29.08,26.23,23.6
1962-01-01,28.89,31.313333333333333,31.075000000000003,24.126666666666665,1,0,0,22.89,25.59,29.1,31.76,33.08,32.82,31.3,30.47,29.71,29.14,26.9,23.9
1963-01-01,29.04,30.94333333333333,31.285,24.596666666666664,0,1,0,22.9,26.56,28.95,30.99,32.89,32.9,31.37,30.36,30.51,29.85,26.83,24.33
1964-01-01,29.09,31.89333333333333,30.8175,24.320000000000004,1,0,0,23.06,25.51,30.12,32.12,33.44,32.53,30.38,30.37,29.99,30.07,27.13,24.39
1965-01-01,29.16,30.733333333333334,31.37,24.676666666666666,0,1,0,23.82,25.53,28.74,30.6,32.86,33.25,31.0,30.39,30.84,30.32,27.84,24.68
1966-01-01,29.41,31.686666666666667,31.235,25.26,1,0,0,24.11,26.97,29.45,31.95,33.66,32.67,31.25,30.77,30.25,29.68,27.41,24.7
1967-01-01,29.14,31.043333333333333,31.3225,24.906666666666666,0,1,0,23.72,26.9,28.21,31.7,33.22,33.15,31.15,30.35,30.64,29.48,27.11,24.1
1968-01-01,29.07,31.243333333333336,31.5475,24.05,0,1,0,22.67,24.69,29.0,31.59,33.14,33.1,30.94,30.8,31.35,29.55,27.24,24.79
1969-01-01,29.61,32.01666666666667,31.549999999999997,25.08,1,0,0,23.78,26.19,30.55,32.4,33.1,33.41,31.33,30.8,30.66,30.13,27.73,25.27
1970-01-01,29.47,32.03333333333333,31.1575,25.150000000000002,1,0,0,24.19,26.19,28.9,32.98,34.22,32.33,31.3,30.59,30.41,29.89,27.55,25.07
1971-01-01,29.15,31.576666666666664,30.905,24.896666666666665,1,0,0,23.91,26.08,29.66,32.19,32.88,31.74,30.79,30.38,30.71,29.61,27.2,24.7
1972-01-01,29.31,31.486666666666668,31.672500000000003,24.546666666666667,0,1,0,24.46,24.53,29.52,31.46,33.48,33.74,31.43,30.6,30.92,29.48,27.52,24.65
1973-01-01,29.44,32.19,31.277499999999996,24.936666666666667,1,0,0,24.02,26.67,29.26,33.3,34.01,33.05,31.34,30.15,30.57,29.41,27.38,24.12
1974-01-01,29.26,31.926666666666666,31.395000000000003,24.103333333333335,1,0,0,23.54,25.14,29.94,32.68,33.16,32.7,31.07,30.94,30.87,29.96,27.49,23.63
1975-01-01,28.89,31.616666666666664,30.6575,24.3,1,0,0,23.15,25.09,28.67,32.36,33.82,32.46,30.34,30.21,29.62,29.62,26.7,24.66
1976-01-01,29.27,31.44333333333333,31.09,24.76,1,0,0,23.91,25.31,29.04,31.71,33.58,32.7,31.41,29.8,30.45,30.35,27.88,25.06
1977-01-01,29.41,31.646666666666665,31.22,25.05666666666667,1,0,0,23.98,26.31,30.79,31.7,32.45,32.69,30.9,30.64,30.65,30.07,27.82,24.88
1978-01-01,29.23,31.573333333333334,31.104999999999997,24.643333333333334,1,0,0,23.6,25.12,28.0,32.23,34.49,32.94,30.48,30.4,30.6,30.43,27.29,25.21
1979-01-01,29.63,31.69666666666667,31.8725,24.94666666666667,0,1,0,24.6,25.39,28.62,33.11,33.36,33.78,31.67,31.16,30.88,30.49,27.67,24.85
1980-01-01,29.58,32.196666666666665,31.365000000000002,24.903333333333336,1,0,0,24.35,26.07,28.79,33.36,34.44,32.73,31.02,30.73,30.98,30.46,27.78,24.29
1981-01-01,29.32,31.636666666666667,31.342499999999998,24.793333333333333,1,0,0,23.73,26.07,28.75,32.26,33.9,33.19,30.87,30.57,30.74,30.01,27.12,24.58
1982-01-01,29.12,30.790000000000003,31.552500000000002,24.566666666666666,0,1,0,24.23,24.78,27.74,31.65,32.98,32.86,31.7,30.64,31.01,30.19,26.89,24.69
1983-01-01,29.11,30.836666666666662,31.4825,24.603333333333335,0,1,0,23.89,25.35,28.23,31.1,33.18,33.39,31.39,30.67,30.48,29.59,27.55,24.57
1984-01-01,29.28,32.12,31.090000000000003,24.44,1,0,0,23.59,24.62,29.97,32.19,34.2,32.88,30.66,30.76,30.06,30.09,27.19,25.11
1985-01-01,29.61,32.50666666666667,31.28,25.25,1,0,0,23.84,26.74,30.79,32.72,34.01,32.78,30.78,30.67,30.89,29.55,27.34,25.17
1986-01-01,29.33,31.593333333333334,31.4475,24.676666666666666,1,0,0,23.61,25.67,29.39,32.11,33.28,32.97,31.15,30.67,31.0,29.86,27.63,24.75
1987-01-01,29.72,31.393333333333334,32.22875,25.116666666666664,0,1,0,23.81,26.34,29.12,32.18,32.88,33.82,32.215,31.28,31.6,30.32,27.99,25.2
1988-01-01,29.55,31.77,31.345,25.340000000000003,1,0,0,24.12,26.67,29.21,32.15,33.95,33.12,30.9,30.67,30.69,30.35,27.75,25.23
1989-01-01,29.18,31.380000000000006,31.12,24.560000000000002,1,0,0,23.22,25.79,28.75,31.76,33.63,32.21,30.89,30.65,30.73,30.3,27.77,24.67
1990-01-01,29.14,30.860000000000003,31.1875,25.05,0,1,0,24.24,25.75,28.25,31.59,32.74,32.56,30.83,30.69,30.67,29.66,27.72,25.16
1991-01-01,29.32,31.49,31.46,24.78,1,0,0,23.31,26.17,29.31,31.51,33.65,32.63,31.6,30.64,30.97,30.03,27.3,24.86
1992-01-01,29.23,31.343333333333334,31.284999999999997,24.78333333333333,1,0,0,23.84,25.35,28.89,31.89,33.25,33.16,31.27,30.39,30.32,29.78,27.55,25.16
1993-01-01,29.55,31.613333333333333,31.4725,25.340000000000003,1,0,0,23.82,26.79,28.37,32.33,34.14,33.18,30.98,31.21,30.52,30.16,27.66,25.41
1994-01-01,29.46,31.853333333333335,31.3,25.053333333333338,1,0,0,24.67,25.51,29.96,31.57,34.03,33.06,30.85,30.51,30.78,29.85,27.72,24.98
1995-01-01,30.18,32.4,31.994999999999997,25.860000000000003,1,0,0,24.44,26.93,29.92,32.83,34.45,34.44,31.39,30.91,31.24,30.93,28.51,26.21
1996-01-01,29.58,32.31666666666666,31.195,25.80333333333333,1,0,0,25.18,27.4,30.86,32.4,33.69,32.5,31.19,30.23,30.86,29.44,27.61,24.83
1997-01-01,29.05,31.266666666666666,31.772499999999997,24.393333333333334,0,1,0,23.3,25.96,29.44,31.0,33.36,33.07,31.87,31.04,31.11,29.21,26.87,23.92
1998-01-01,29.7,31.886666666666667,31.755000000000003,25.02333333333333,1,0,0,23.95,25.97,28.56,32.6,34.5,33.55,31.57,31.17,30.73,30.03,28.09,25.15
1999-01-01,29.81,32.449999999999996,31.545,25.346666666666664,1,0,0,23.57,26.75,30.32,33.77,33.26,32.57,31.44,30.95,31.22,30.17,27.97,25.72
2000-01-01,29.75,32.22333333333333,31.2425,25.166666666666668,1,0,0,24.44,25.2,29.27,33.17,34.23,32.29,30.99,30.73,30.96,31.22,28.46,25.86
2001-01-01,29.99,32.60666666666666,31.66,25.69666666666667,1,0,0,24.36,27.4,30.32,32.54,34.96,32.34,31.33,31.31,31.66,30.79,28.26,25.33
2002-01-01,30.23,33.059999999999995,31.94125,25.540000000000003,1,0,0,24.56,26.18,30.59,33.51,35.08,33.46,32.215,31.04,31.05,31.02,28.86,25.88
2003-01-01,29.75,32.053333333333335,31.715,25.2,1,0,0,24.27,26.36,29.13,32.91,34.12,33.77,31.3,30.93,30.86,30.26,27.86,24.97
2004-01-01,29.79,32.556666666666665,31.415000000000003,25.493333333333336,1,0,0,23.89,27.05,31.47,32.97,33.23,32.23,31.38,30.85,31.2,29.18,28.23,25.54
2005-01-01,29.6,31.813333333333333,31.835,25.01,0,1,0,24.18,25.74,29.5,32.37,33.57,33.88,30.96,31.45,31.05,29.78,27.6,25.11
2006-01-01,30.06,32.080000000000005,31.3925,26.511666666666667,1,0,0,25.66,28.605,29.56,32.59,34.09,32.65,31.59,30.76,30.57,30.46,27.61,25.27
2007-01-01,29.84,32.31666666666666,31.405,25.55333333333333,1,0,0,25.19,26.28,29.33,33.57,34.05,32.63,31.29,31.06,30.64,30.49,28.41,25.19
2008-01-01,29.64,32.11,31.25,25.12,1,0,0,23.97,25.48,30.34,32.13,33.86,32.15,31.24,30.69,30.92,30.81,28.15,25.91
2009-01-01,30.3,32.583333333333336,32.1825,26.183333333333334,1,0,0,25.27,27.75,30.57,33.09,34.09,33.73,31.77,31.630000000000003,31.6,30.75,27.59,25.53
2010-01-01,30.13,33.25333333333333,31.47,25.599999999999998,1,0,0,24.89,27.03,31.47,33.86,34.43,33.22,31.24,30.77,30.65,30.47,28.01,24.88
2011-01-01,29.82,32.06666666666667,31.540000000000003,25.416666666666668,1,0,0,24.18,26.47,30.17,31.7,34.33,33.02,31.41,30.92,30.81,30.85,28.31,25.6
2012-01-01,29.81,32.32,31.7725,25.13,1,0,0,23.61,26.44,30.2,32.46,34.3,33.6,31.88,30.96,30.65,30.2,28.11,25.34
2013-01-01,29.81,32.580000000000005,31.3275,25.506666666666664,1,0,0,24.56,26.59,30.62,32.66,34.46,32.44,31.07,30.76,31.04,30.27,27.83,25.37
2014-01-01,29.72,31.820000000000004,32.0,24.959999999999997,0,1,0,23.83,25.97,28.95,32.74,33.77,34.15,31.85,31.32,30.68,30.29,28.05,25.08
2015-01-01,29.9,31.676666666666666,31.857499999999998,25.713333333333335,0,1,0,24.58,26.89,29.07,31.87,34.09,32.48,31.88,31.52,31.55,31.04,28.1,25.67
2016-01-01,30.535,33.580000000000005,32.24,27.040000000000003,1,0,0,25.8,28.605,31.47,33.86,35.410000000000004,34.03,31.64,31.630000000000003,31.66,31.355000000000004,29.115,26.715
2017-01-01,30.535,33.580000000000005,32.29375,27.040000000000003,1,0,0,25.8,28.605,31.47,33.86,35.410000000000004,33.82,31.88,31.630000000000003,31.844999999999995,31.355000000000004,29.115,26.715
